,handle,count,compound,positive,negative,neutral,date,text
0,news,1,-0.5994,0.0,0.187,0.813,1544013008.0,"Das US-Magazin ""Forbes"" hat die deutsche Bundeskanzlerin Angela Merkel zum achten Mal in Folge zur weltweit mächtig… https://t.co/nCgwaPb9Qp"
1,news,2,0.0,0.0,0.0,1.0,1544005810.0,"#Österreich soll zu einer ""Sportnation 4.0"" werden https://t.co/bl45IgLQGx"
2,news,3,-0.128,0.0,0.111,0.889,1543998618.0,Checkliste: 11 einfache Tipps und Tricks für gelungene Aufnahmen mit dem #Smartphone https://t.co/tUZR2QQAfZ
3,news,4,0.0,0.0,0.0,1.0,1543989603.0,"Acht Männer und acht Frauen haben unter Aufsicht das gemacht, was man nicht tun soll

https://t.co/mQuNt7NLgO"
4,news,5,-0.636,0.0,0.276,0.724,1543978323.0,"Die Spekulationen haben ein Ende!
Wir haben eine neue Chefredakteurin - @KGulnerits 
https://t.co/uv4VI32ToR"
5,news,6,0.0,0.0,0.0,1.0,1543975754.0,"#FamilienbonusPlus: Aufgepasst, der neue Familienbonus landet nicht automatisch am Konto! Es gibt viel zu beachten… https://t.co/Xeab7S2Jpu"
6,news,7,0.0,0.0,0.0,1.0,1543930212.0,Was man beim Wäschewaschen alles falsch machen kann... https://t.co/rQyuWDOU4J
7,news,8,0.0,0.0,0.0,1.0,1543915815.0,"1 Jahr Türkis-Blau

https://t.co/xIDFI1Rxtr"
8,news,9,0.0,0.0,0.0,1.0,1543894103.0,1.400 Gäste folgten der Einladung des ÖVP-Chefs https://t.co/X8U0rREhYG
9,news,10,-0.5994,0.0,0.281,0.719,1543887464.0,Die Geldleistungen der Sozialhilfe im Vergleich 💰 #Mindestsicherung #Österreich https://t.co/xS26nDHBfW
10,news,11,-0.5994,0.0,0.206,0.794,1543840208.0,"Als ""nicht tragbar"" haben Jugendorganisationen am Montag die Vorgangsweise von Landesrat Gottfried Waldhäusl in der… https://t.co/XRQTZMu69D"
11,news,12,0.0,0.0,0.0,1.0,1543804211.0,"""Kurz ist so jung und hat so alte Ansichten"". SJ-Chefin Julia Herr spart im Interview nicht mit Kritik an der Regie… https://t.co/we2o6pEsyy"
12,news,13,0.0,0.0,0.0,1.0,1543797314.0,"Alles, was du heute wissen musst - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/bRr14a6ObN"
13,news,14,-0.5994,0.0,0.565,0.435,1543743010.0,Die Zeit drängt. https://t.co/OpSHWm3XZI
14,news,15,0.0,0.0,0.0,1.0,1543735807.0,Das zweite Türchen ist geöffnet ... jetzt mitspielen und mit etwas Glück gewinnen! https://t.co/TnKMjuQgHz
15,news,16,-0.5994,0.0,0.196,0.804,1543721405.0,Nach dem tragischen Tod des Primars der Gynäkologie machen Gerüchte um das Villacher Krankenhaus die Runde. https://t.co/Nf1ilcKJYw
16,news,17,0.0,0.0,0.0,1.0,1543714202.0,Faire Preise oder was? https://t.co/mppGIOgFZj
17,news,18,-0.5994,0.0,0.231,0.769,1543663815.0,Als Parteimanager der SPÖ muss Thomas Drozda die Schläge für seine Chefin einstecken. https://t.co/2tJAWBCPAu
18,news,19,0.0,0.0,0.0,1.0,1543656610.0,In Österreich kommt es täglich zu ein bis zwei diagnostizierten HIV-Neuinfektionen. https://t.co/3YIKMJDoDj
19,news,20,0.0,0.0,0.0,1.0,1543649409.0,Das erste Türchen ist geöffnet ... jetzt mitspielen und mit etwas Glück gewinnen! https://t.co/TnKMjuQgHz
20,news,21,0.0,0.0,0.0,1.0,1543595410.0,Können Spinnen im Staubsauger überleben? Wir zeigen was an dem Gerücht dran ist. https://t.co/YuZWzuw3Js
21,news,22,0.4588,0.227,0.0,0.773,1543584790.0,"My week on Twitter 🎉: 273 Mentions, 31.4K Mention Reach, 15 Likes, 7 Retweets, 19.1K Retweet Reach. See yours with… https://t.co/DbetshMJC2"
22,news,23,0.0,0.0,0.0,1.0,1543584608.0,Zwei Austro-Millionäre mischen mit https://t.co/mXWYdNEKZ5
23,news,24,0.0,0.0,0.0,1.0,1543577417.0,"Uii, da machen wir aber einiges falsch 🙈 https://t.co/a8mYaopCx3"
24,news,25,-0.5994,0.0,0.281,0.719,1543570216.0,"Die ""#Flexity""-#Straßenbahn wird zu Beginn auf der 67er Strecke eingesetzt https://t.co/pw3t8w5uOv"
25,news,26,0.0,0.0,0.0,1.0,1543563013.0,Lego ist und bleibt ein Klassiker auf dem Wunschzettel für Weihnachten https://t.co/lm0CJaSMGE
26,news,27,-0.5994,0.0,0.262,0.738,1543555806.0,Ein #Stacheldrahtzaun rund um ein Asyl-Quartier in Österreich erhitzt die Gemüter. https://t.co/00O9QPcIVk
27,news,28,-0.5994,0.0,0.394,0.606,1543552203.0,Die Formel-1-Legende Michael Schumacher kämpft weiter https://t.co/1gLasOqgyB
28,news,29,0.0,0.0,0.0,1.0,1543549556.0,Schock in der Luft für Kanzlerin Merkel https://t.co/MXEOi6XQ20
29,news,30,0.0,0.0,0.0,1.0,1543538326.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/o4Rg02yvFs"
30,news,31,-0.5994,0.0,0.218,0.782,1543487412.0,"Tierqual beenden, Tierwohl fördern und Tierschutz stärken - das sind die Forderungen des ""strikt überparteilichen""… https://t.co/efmMGYmsT4"
31,news,32,0.0,0.0,0.0,1.0,1543480210.0,Eine Briefbomben-Serie hat in Österreich vor 25 Jahren ihren Ausgang genommen. https://t.co/wP6ROypoac
32,news,33,0.0,0.0,0.0,1.0,1543473007.0,"Urban Explorer suchen in ihrer Freizeit verlassene Orte auf, klettern auf Hochhäuser oder Windräder – alles für den… https://t.co/yUUbLuZz9O"
33,news,34,0.0,0.0,0.0,1.0,1543465805.0,"""wie man sich verhält und was man dagegen tun kann"" https://t.co/dzKxdrgUAc"
34,news,35,0.0,0.0,0.0,1.0,1543462204.0,"Pro Probe wurden bis zu fünf Tierarzneimittel, darunter mehrere Antibiotika, und bis zu 38 verschiedene Pestizide f… https://t.co/jNrUpciTGL"
35,news,36,-0.9136,0.0,0.494,0.506,1543458610.0,"Verschnarcht die Europäische Union die Abschaffung der Zeitumstellung?“, das fragt sich die deutsche „Bild“-Zeitung… https://t.co/G9Lb3xCulD"
36,news,37,0.0,0.0,0.0,1.0,1543453441.0,"Alles, was du heute wissen musst - im #News-#Espresso-Video und auf https://t.co/ZNz6xjewfS. https://t.co/fapdWKag1s"
37,news,38,-0.5994,0.0,0.206,0.794,1543386610.0,#Mindessicherung in #Österreich: Die #Sozialhilfe soll künftig einheitlich 863 Euro betragen. Bei Zuwanderern mit s… https://t.co/P1RCROmL0s
38,news,39,0.0,0.0,0.0,1.0,1543383006.0,"Nach dem Kentern eines #Pionierboots im September, wird nun der #Unfallbericht präsentiert. https://t.co/H0fYTkb1uz"
39,news,40,-0.5994,0.0,0.358,0.642,1543375803.0,Die besten Tipps für eine entspannte Vorweihnachtszeit https://t.co/HC2N842jG1
40,news,41,0.0,0.0,0.0,1.0,1543370627.0,#Putin wie #Poroschenko haben Gründe zu zündeln https://t.co/P5Yfw0QMAt
41,news,42,0.0,0.0,0.0,1.0,1543367531.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/Fx9iZtRxfv"
42,news,43,0.0,0.0,0.0,1.0,1543329011.0,Was macht einen Gentleman aus? 11 Austro-Promis verraten es. https://t.co/sez12OdjfK
43,news,44,-0.5994,0.0,0.245,0.755,1543306692.0,"Im Durchschnitt planen die Österreicher heuer 6,7 Geschenke zu kaufen. #Geschenke #Weihnachten https://t.co/8J0H9STWYZ"
44,news,45,0.0,0.0,0.0,1.0,1543293004.0,Eine Auswahl der schönsten #Weihnachtsmärkte in #Österreich https://t.co/9c3EgX7MQF
45,news,46,0.0,0.0,0.0,1.0,1543285808.0,"Maximilian Krauss, der Obmann der Freiheitlichen Jugend, über Vorbilder, braune Ausrutscher und Sebastian Kurz https://t.co/Cox0N6OonG"
46,news,47,0.0,0.0,0.0,1.0,1543280403.0,Birgit #Hebein ist neue Spitzenkandidatin der Wiener Grünen https://t.co/jRJ7UGjF4F
47,news,48,0.0,0.0,0.0,1.0,1543274900.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/Ek3sPrdfhb"
48,news,49,0.0,0.0,0.0,1.0,1543246210.0,"So hat das Baby
das Leben der Hirschers verändert - https://t.co/zoa9r8DZuk"
49,news,50,-0.6326,0.0,0.454,0.546,1543239012.0,"So ungesund leben
die Österreicher - https://t.co/u1NYo8jVki"
50,news,51,0.0,0.0,0.0,1.0,1543207064.0,ÖBB: Züge stehen heute wohl still - letzte Verhandlung wohl ohne Erfolg https://t.co/0GBF5IrDTY
51,news,52,0.0,0.0,0.0,1.0,1543192305.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/ctYRXPGC5M"
52,news,53,0.0,0.0,0.0,1.0,1543138208.0,"10 simple, aber effektive #Tipps gegen #Stress https://t.co/aBSAvMvSOJ"
53,news,54,-0.5994,0.0,0.187,0.813,1543131009.0,"Für all jene, die echte Royal-Fans im Freundes- oder Verwandtenkreis haben - mit diesen Geschenken liegen Sie siche… https://t.co/Z7dpb5Cuks"
54,news,55,-0.5994,0.0,0.302,0.698,1543123806.0,Die vielbeschäftigte 91-Jährige über ihre Lieblingsrolle und große Verluste. https://t.co/0aipl4bxoE
55,news,56,0.0,0.0,0.0,1.0,1543116603.0,Erkältungsanzeichen? Rasch gegensteuern! https://t.co/e2tDX1x30m
56,news,57,0.0,0.0,0.0,1.0,1543109404.0,Wie wohnen wir in 20 Jahren? https://t.co/cBPq9u4NOp
57,news,58,0.0,0.0,0.0,1.0,1543066209.0,Eine von fünf Frauen erlebt in Österreich häusliche Gewalt https://t.co/eWHdoFrhhG
58,news,59,0.0,0.0,0.0,1.0,1543059012.0,Lieber Bistro statt Pelze https://t.co/N93uhGrXQQ
59,news,60,0.0,0.0,0.0,1.0,1543053991.0,"Ängste bestimmen unser Leben. Experten erklären, wie sehr man sich wirklich fürchten muss. https://t.co/yezmDMEI3b"
60,news,61,0.0,0.0,0.0,1.0,1543037402.0,Misshandlungsvorwurf gegen Tom Cruise https://t.co/XguINC2smF
61,news,62,-0.5994,0.0,0.565,0.435,1543030202.0,Die letzten #Tiger https://t.co/8EO66qSKC5
62,news,63,0.0,0.0,0.0,1.0,1542987013.0,"Pflegefrage: #Kurz verspricht eine ""Generallösung"" https://t.co/TtORlF2KnB #pflege"
63,news,64,0.4588,0.227,0.0,0.773,1542979978.0,"My week on Twitter 🎉: 345 Mentions, 8.96K Mention Reach, 23 Likes, 5 Retweets, 2.99K Retweet Reach. See yours with… https://t.co/2yQTmH89nN"
64,news,65,0.0,0.0,0.0,1.0,1542979813.0,Eine Videobotschaft von Niki Lauda an seine Crew 💪 https://t.co/K3YRUxzj1f
65,news,66,0.0,0.0,0.0,1.0,1542958215.0,"7 Tipps, damit der ""Black Friday"" für Sie nicht zum schwarzen Schnäppchen-Freitag wird. #blackfriday https://t.co/28pPIg8VSK"
66,news,67,0.0,0.0,0.0,1.0,1542947409.0,"Im Büro steht unser Rücken jeden Tag unter Dauerstress. Wir wissen, wie Sie Rückenschmerzen vorbeugen. https://t.co/hYWh7C4jmA"
67,news,68,-0.5994,0.0,0.231,0.769,1542942094.0,Die Hagiografie zeichnet Straches Aufstieg vom Landtagsabgeordneten zum Vizekanzler der Republik als Heldenepos.… https://t.co/pdym3hLTi6
68,news,69,0.0,0.0,0.0,1.0,1542936482.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/mPeF8WQrxQ"
69,news,70,-0.8316,0.0,0.342,0.658,1542889807.0,"""Die Regierung ist in der Normalität angekommen. Die Nationalbank ist ein unrühmliches Indiz für Postenschacher""
De… https://t.co/1dErscs0LV"
70,news,71,-0.4404,0.106,0.206,0.688,1542882611.0,Für alle die ihrem Hund in der Adventszeit eine kleine Freude machen wollen ;-) https://t.co/T28Olg8x3J
71,news,72,0.0,0.0,0.0,1.0,1542878289.0,"Doskozil genießt größeres Vertrauen als Rendi-Wagner

https://t.co/0R9MikRQ5i"
72,news,73,0.3164,0.223,0.0,0.777,1542875417.0,Wir gratulieren den sportlichen Jung-Vätern und Jung-Mamas! ;-) https://t.co/jF8DbfpSOr
73,news,74,0.0,0.0,0.0,1.0,1542868210.0,Wie gefährlich ist Schimmel wirklich? Akute Gesundheitsgefahr oder vernachlässigbar? Der Umwelthygieniker Hans-Pete… https://t.co/ury2hGP2tV
74,news,75,0.0,0.0,0.0,1.0,1542861006.0,NEOS wollen ein Verbot für religiöse Kleidung. Nicht nur in Kindergärten sondern auch  Schulen für Jugendliche bis… https://t.co/cYPFquIr4S
75,news,76,-0.5994,0.0,0.206,0.794,1542858645.0,"Künftig müssen alle Hundebesitzer einen Kurs absolvieren, um die artgerechte Haltung des Tieres zu gewährleisten. https://t.co/gazOhOTRpe"
76,news,77,0.0,0.0,0.0,1.0,1542853811.0,Wo ist mein Paket? Was bringen Beschwerden bei der Service-Hotline? Ein vermeintlicher #DHL-Mitarbeiter hat Antwort… https://t.co/Vbryw0STFn
77,news,78,0.0,0.0,0.0,1.0,1542848925.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/Hmdc4ih6lu"
78,news,79,0.0,0.0,0.0,1.0,1542810608.0,Ein mutiger Schritt. https://t.co/8HQRGlBICZ
79,news,80,-0.5994,0.0,0.17,0.83,1542800300.0,Der Angeklagte war bis zu seiner Suspendierung als Oberarzt am Wiener AKH tätig und soll in seiner Privatpraxis von… https://t.co/l7NeorPFDz
80,news,81,-0.5994,0.0,0.178,0.822,1542796210.0,Bei der Spielzeugwaffe #Nerf scheiden sich die Geister. Welche Unsicherheiten es gibt und wie #Eltern richtig mit d… https://t.co/QaUltJiwxt
81,news,82,-0.5994,0.0,0.187,0.813,1542789010.0,Neues #Waffengesetz in #Österreich: Bei dem Gesetz handelt es sich im Grunde um die Umsetzung einer EU-Richtlinie.… https://t.co/j33K8gGPTv
82,news,83,-0.8316,0.0,0.415,0.585,1542771002.0,"Die Liste der Länder, die den umstrittenen UN-#Migrationspakt ablehnen, wird immer länger. https://t.co/TKZ3hZ6C8v"
83,news,84,0.0,0.0,0.0,1.0,1542769079.0,"Laut dem umstrittenen Verein ""#TeenStar"" ist Sex vor der Ehe problematisch, Homosexualität „tendenziell heilbar“ un… https://t.co/YVBqDJ0k9M"
84,news,85,-0.5994,0.0,0.358,0.642,1542763805.0,5 Wohntipps für die kalte Jahreszeit https://t.co/zpljccSVEQ #living #wohnen
85,news,86,0.0,0.0,0.0,1.0,1542759970.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/lA4cCsqhcP"
86,news,87,0.0,0.0,0.0,1.0,1542717020.0,"Diskussion um Aussage von Minister Faßmann
https://t.co/bZXRLvhZtN"
87,news,88,0.0,0.0,0.0,1.0,1542709811.0,"An bestimme Körperstellen drücken und das Hungergefühl verschwindet. Glaub ihr daran?
❤ = Ich schwöre auf Akupressu… https://t.co/ZbnyR6X8JT"
88,news,89,0.0,0.0,0.0,1.0,1542702625.0,"Wien, eine der unfreundlichsten Städte weltweit?
https://t.co/O5WbD17w4z"
89,news,90,0.0,0.0,0.0,1.0,1542688208.0,"Vorsicht bei der Schnäppchenjagd - wie sehr Kunden wirklich von den Aktionstagen profitiert, ist umstritten. ☝… https://t.co/AubtagwDt8"
90,news,91,0.0,0.0,0.0,1.0,1542674735.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/4pi5J1zYcn"
91,news,92,0.0,0.0,0.0,1.0,1542634216.0,"Der zwischenmenschliche Aspekt der Pflege und Betreuung wird nicht oder zu wenig als Arbeitsbestandteil anerkannt. 

https://t.co/5DGvzmukpC"
92,news,93,0.0,0.0,0.0,1.0,1542619814.0,"""Bin absolut überzeugt, dass weder er noch ein anderes Mitglied dieser Regierung antisemitisch ist oder Antisemitis… https://t.co/WsheGhSH8G"
93,news,94,-0.5994,0.0,0.328,0.672,1542601795.0,"Die ""Liste Pilz"" heißt nicht mehr ""Liste Pilz""

https://t.co/sofrBHNARZ"
94,news,95,0.0,0.0,0.0,1.0,1542588173.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/BSm01qWrsm"
95,news,96,0.0,0.0,0.0,1.0,1542544209.0,Das austrokanadische Start-Up #Amabrush will diesen Traum jetzt wahr werden lassen. https://t.co/EL7RJC0gks
96,news,97,0.0,0.0,0.0,1.0,1542533411.0,"„Du kannst der reifste, saftigste Pfirsich auf der ganzen Welt sein und es wird immer noch jemanden geben, der Pfir… https://t.co/2XYtwQwZPA"
97,news,98,0.0,0.0,0.0,1.0,1542526206.0,"Der ""#Westermarck-Effekt"" beschreibt eine Konstellation, in der #Beziehungen zum Scheitern verurteilt sind. https://t.co/K5j9JN15oj"
98,news,99,0.0,0.0,0.0,1.0,1542511804.0,"Ohne das #Handy geht im Alltag oft gar nichts. Lohnt sich eine Versicherung? Hier einige Tipps.

Ohne das Handy geh… https://t.co/DYvaLiPaDA"
99,news,100,0.0,0.0,0.0,1.0,1542504605.0,Es ist eine traurige Tatsache: Der Bestand der #Vögel reduziert sich weltweit dramatisch. https://t.co/h002sGpFln
100,news,101,0.0,0.0,0.0,1.0,1542450609.0,Wie sich der Körper der Mutter während der Schwangerschaft verändert - und was das Ungeborene schon alles kann. https://t.co/PIBpA59GAv
101,news,102,-0.5994,0.0,0.218,0.782,1542443407.0,Schicksalsjahre einer Partei. Die #Grünen hoffen auf ein politisches #Comeback. Ihre Ziele hängen hoch https://t.co/Wp1brAu86t
102,news,103,-0.5994,0.0,0.17,0.83,1542436205.0,Ich halte seit fünf Jahren einen ganz friedlichen Dackel in Wien und verfolge daher die Debatte über eine Verschärf… https://t.co/qWnoseRms3
103,news,104,0.0,0.0,0.0,1.0,1542427202.0,"""Herbert Grönemeyer"" https://t.co/HaSEyLNskt"
104,news,105,0.0,0.0,0.0,1.0,1542419912.0,Ein Viertel aller Österreicher und Österreicherinnen leidet an #Nahrungsmittelunverträglichkeit. https://t.co/x5zJ7CoWPB
105,news,106,0.4588,0.227,0.0,0.773,1542375179.0,"My week on Twitter 🎉: 208 Mentions, 48.7K Mention Reach, 23 Likes, 6 Retweets, 1.57K Retweet Reach. See yours with… https://t.co/yKw98A4JA2"
106,news,107,0.0,0.0,0.0,1.0,1542371411.0,"Niemand ist über den Tisch gezogen worden, so Kurz

https://t.co/mqZbb4lk0x"
107,news,108,0.3818,0.565,0.0,0.435,1542360522.0,"😲

https://t.co/23S5cRC7Sp"
108,news,109,-0.5994,0.0,0.187,0.813,1542357012.0,"Sie ist Österreichs Aushängeschild in Sachen Mode: Lena Hoschek. Die Modeschöpferin verrät, was es braucht um erfol… https://t.co/AeKCQCq8NA"
109,news,110,-0.5994,0.0,0.245,0.755,1542346209.0,"Anfang Oktober war es zur Anzeige wegen Körperverletzung und gefährlichen Drohungen gekommen.

https://t.co/5DIXH7ZNfn"
110,news,111,0.0,0.0,0.0,1.0,1542341349.0,RT @alexalutteri: In aller Frühe bei @puls4 ... https://t.co/brwXD9Rff7
111,news,112,-0.5994,0.0,0.358,0.642,1542339007.0,"Wie hoch ist die Terrorgefahr in Wien?

https://t.co/0CjW6bUBCm"
112,news,113,0.5719,0.291,0.0,0.709,1542333806.0,"""Happy Birthday, Charles""
Mehr #Haderer gibt es hier https://t.co/4PMN4TdREc https://t.co/scffncLX5r"
113,news,114,0.0,0.0,0.0,1.0,1542331807.0,Ungewöhnlich scharf reagiert Bundeskanzler Sebastian Kurz auf Kritik aus Vorarlberg an einer umstrittenen Abschiebu… https://t.co/6Bmi0GO1Rw
114,news,115,0.0,0.0,0.0,1.0,1542327808.0,"Alles, was Sie heute wissen müssen - im News-Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/kQfU76FDOd"
115,news,116,-0.5994,0.0,0.196,0.804,1542292209.0,"Die Grünen - Jede Wahl der nächsten Jahre wird zur Schicksalswahl. Scheitern verboten.
Der News-Leitartikel von Ren… https://t.co/Ro38ln0uCx"
116,news,117,-0.5994,0.0,0.206,0.794,1542285018.0,"Eine Textnachricht von Heinz-Christian Strache, die versehentlich an den falschen Adressaten ging, sorgt derzeit fü… https://t.co/ssev7IHpgt"
117,news,118,0.0,0.0,0.0,1.0,1542277813.0,"Gewerkschaftsbund und Arbeiterkammer sehen das anders....

https://t.co/p1OresnZHd"
118,news,119,-0.5994,0.0,0.262,0.738,1542270614.0,"Die psychologische Bezeichnung ""Manhattan-Effekt"", bezeichnet spezielle eine Konstellation in einer Partnerschaft. https://t.co/VByGKv0ucT"
119,news,120,0.0,0.0,0.0,1.0,1542259804.0,Rund 130 weitere Hunde  lebten in verwahrlostem Zustand auf dem Gelände. https://t.co/SxCNRbSANf
120,news,121,0.0,0.0,0.0,1.0,1542252608.0,"Rauchen ist eine Sucht, das Aufhören dementsprechend schwer. Wir haben effektive Tipps. https://t.co/5SpE577Dyi"
121,news,122,0.0,0.0,0.0,1.0,1542249007.0,"""Leider wird der Grundgehorsam von Hunden in Österreich stark vernachlässigt"", sagt Agility-Trainer Christian Wöss. https://t.co/ELQrUakRBW"
122,news,123,0.0,0.0,0.0,1.0,1542245407.0,Der ideale Abstand zwischen zwei Schwangerschaften https://t.co/F7ThVVFqp9 #baby #schwanger
123,news,124,0.0,0.0,0.0,1.0,1542242734.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/5Yayh0Idwz"
124,news,125,-0.5994,0.0,0.245,0.755,1542205816.0,"Ein Drittel der Befragten spricht sich für die Einschränkung demokratischer Rechte aus. 

https://t.co/iLP7pEy17K"
125,news,126,-0.5994,0.0,0.302,0.698,1542204118.0,"#Brexit: Theresa May sichert sich die Zustimmung ihres Kabinetts
https://t.co/aDXEEygv38"
126,news,127,0.0,0.0,0.0,1.0,1542204007.0,"Europäische Armee - Was würde das für Österreich bedeuten? 

https://t.co/s9taxEEIgp"
127,news,128,0.0,0.0,0.0,1.0,1542198621.0,Da gibt es wirklich einiges zu tun 😝 https://t.co/qgFbmq5QBa
128,news,129,-0.34,0.0,0.444,0.556,1542185512.0,"ORF-Redakteure schlagen Alarm

https://t.co/OdQmPhKTYE"
129,news,130,0.0,0.0,0.0,1.0,1542173402.0,Prinz Charles feiert heute seinen 70. Geburtstag! Sein Leben in Bildern. 🎂🎉🎁 https://t.co/jrEfxUqGKd
130,news,131,-0.5994,0.0,0.218,0.782,1542171741.0,"Während Ex-Kanzler Kern auf Urlaub in Marokko weilt, ist die SPÖ um Klarstellung bemüht. https://t.co/SAE4g6ooDK"
131,news,132,0.0,0.0,0.0,1.0,1542169804.0,"Wegen ""akuter Gefährdung von Patienten"" https://t.co/B9zE89e4Dm"
132,news,133,-0.5994,0.0,0.262,0.738,1542166207.0,"Die Eckpunkte: Bessere Bezahlung für #Fachexperten, beschleunigtes Aufnahmeverfahren im #Exekutivdienst und… https://t.co/hVHzBOrISO"
133,news,134,0.0,0.0,0.0,1.0,1542159002.0,#Diabetes: Was Sie wissen sollten https://t.co/SES1lZjp3n
134,news,135,0.0,0.0,0.0,1.0,1542155586.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/N1XOAQo9Ef"
135,news,136,-0.4404,0.101,0.196,0.704,1542115808.0,"""Nationalismus und Egoismus dürfen nie wieder eine Chance in Europa haben"", fordert die Deutsche Kanzlerin. https://t.co/MMdoBGGqB5"
136,news,137,0.0,0.0,0.0,1.0,1542108616.0,"Strafanzeige gegen Bundeskanzler Kurz und seinen Vize Strache

https://t.co/rgxrTGzkKi"
137,news,138,0.0,0.0,0.0,1.0,1542090305.0,"Im Palast gäbe es einen Job 😉

https://t.co/oxFQccQx8B"
138,news,139,-0.5994,0.0,0.178,0.822,1542083408.0,Nur vier Faktoren sind für mehr als die Hälfte der weltweiten Todesfälle verantwortlich. Und was noch viel erschütt… https://t.co/XEJAhs7zDM
139,news,140,0.0,0.0,0.0,1.0,1542076206.0,"""Derzeit sind in Österreich über 30 Prozent der Frauen und 50 Prozent der Männer übergewichtig, das sind fast 3,5 M… https://t.co/frlZ2Exx2q"
140,news,141,0.0,0.0,0.0,1.0,1542069304.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/g9CvAgQKst"
141,news,142,0.0,0.0,0.0,1.0,1542011413.0,Bundespräsident Van der Bellen übt Kritik an Schwarz-Blau https://t.co/8JrNtdwLF0
142,news,143,-0.8316,0.0,0.375,0.625,1542004206.0,"""Die FPÖ und ich garantieren, dass die Notstandshilfe als Versicherungsleistung bleiben wird"", so Hartinger-Klein. 

https://t.co/nBTNE4sJLg"
143,news,144,0.7959,0.441,0.0,0.559,1541939407.0,Vorlesen hat erwiesenermaßen positive Auswirkungen auf unsere Kinder! ❤ https://t.co/DOLHKMtD9A
144,news,145,-0.8225,0.044,0.289,0.667,1541924252.0,"RT @Igby_tweets: Zwischenbericht : 
a) wenn man schon 2x beim gratis Keksestand war , sperren die einen beim 3. Mal vorbeischlendern 😎?
b)…"
145,news,146,0.0,0.0,0.0,1.0,1541921411.0,"#Lokalcheck: Das #Paco hat einen kleinen, aber feinen Ableger in Wiens Innenstadt bekommen.

https://t.co/FrFkVdacKU"
146,news,147,0.0,0.0,0.0,1.0,1541914202.0,"Im Herbst und Winter haben Erkältungs- und #Grippewellen Hochsaison. Diese #Tipps helfen dabei, Ihr Immunsystem zu… https://t.co/VX1eOJPbzW"
147,news,148,0.0,0.0,0.0,1.0,1541907007.0,Politische Urgesteine erzählen über ihr Leben mit der Politik. https://t.co/wAJ9LQAnrv
148,news,149,0.0,0.0,0.0,1.0,1541856608.0,Warum der Verzicht von Büffelmozzarella wichtig ist https://t.co/iqglz3lRAl
149,news,150,0.0,0.0,0.0,1.0,1541849414.0,"""Das in der Tat unangenehme Wirken der FPÖ wird noch von Sebastian Kurz überstrahlt"" https://t.co/ZAYuxHMouV"
